Epoch,Training_Loss,Validation_Loss,Training_Accuracy,Validation_Accuracy,Training_Precision,Validation_Precision,Training_Recall,Validation_Recall
45,0.5851050615310669,0.558138906955719,0.7059244513511658,0.7276887893676758,0.7191867828369141,0.7608426213264465,0.6590975522994995,0.6845039129257202
46,0.5838411450386047,0.5578842163085938,0.7064968347549438,0.7259725332260132,0.7223650217056274,0.7612500190734863,0.6544395685195923,0.6789297461509705
47,0.5850099325180054,0.5586499571800232,0.7126502394676208,0.7276887893676758,0.7280281186103821,0.767471432685852,0.6631731986999512,0.6733556389808655
48,0.5865786075592041,0.5583735704421997,0.7059244513511658,0.72826087474823,0.7211538553237915,0.7624378204345703,0.6550218462944031,0.6833890676498413
49,0.5852870345115662,0.5585557818412781,0.7076416611671448,0.7276887893676758,0.722791314125061,0.7601977586746216,0.6573507785797119,0.6856187582015991
50,0.5848901271820068,0.5581690669059753,0.7034916877746582,0.7271167039871216,0.7166931629180908,0.7567237019538879,0.6561863422393799,0.6900780200958252
51,0.5855896472930908,0.5587584972381592,0.7046365141868591,0.7271167039871216,0.7142857313156128,0.7638190984725952,0.6652110815048218,0.6778149604797363
52,0.5857677459716797,0.5583656430244446,0.7029193043708801,0.7265446186065674,0.7160572409629822,0.7564259767532349,0.6556040644645691,0.6889632344245911
53,0.5846438407897949,0.5585310459136963,0.7046365141868591,0.72826087474823,0.7157695889472961,0.7611386179924011,0.6620087623596191,0.6856187582015991
54,0.5835945010185242,0.5582494139671326,0.7056382298469543,0.7276887893676758,0.7179000377655029,0.7614907026290894,0.6608442664146423,0.6833890676498413
55,0.5869479775428772,0.5584187507629395,0.7037779092788696,0.7288329601287842,0.7170111536979675,0.760789155960083,0.6564774513244629,0.6878483891487122
56,0.5844404697418213,0.5585881471633911,0.7070692777633667,0.7276887893676758,0.7200380563735962,0.7589175701141357,0.6611353754997253,0.6878483891487122
57,0.5832909941673279,0.5581781268119812,0.7047796249389648,0.7276887893676758,0.716951310634613,0.7589175701141357,0.6599708795547485,0.6878483891487122
58,0.5846951603889465,0.5584812760353088,0.704064130783081,0.72826087474823,0.7169152498245239,0.7611386179924011,0.6576419472694397,0.6856187582015991
59,0.58589768409729,0.5582799911499023,0.702489972114563,0.7271167039871216,0.7138801217079163,0.7579852342605591,0.6588063836097717,0.6878483891487122
60,0.584889829158783,0.5581106543540955,0.7060675621032715,0.7259725332260132,0.7177546620368958,0.7561274766921997,0.6625909805297852,0.6878483891487122
61,0.5842906832695007,0.5583583116531372,0.7072123885154724,0.7271167039871216,0.7181903719902039,0.7618454098701477,0.6655021905899048,0.6811594367027283
